matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N14916;2001;EMB-145LR;
N14920;2001;EMB-145LR;
N14923;2000;EMB-145LR;
N14933;1997;EMB-145EP;
N14937;1997;EMB-145EP;
N14939;1997;EMB-145EP;
N14940;1997;EMB-145EP;
N14947;1998;EMB-145EP;
N14950;1998;EMB-145LR;
N14959;1998;EMB-145LR;
N14960;1998;EMB-145LR;
N14972;1999;EMB-145LR;
N14974;1999;EMB-145LR;
N14977;1999;EMB-145LR;
N14991;2000;EMB-145LR;
N14993;2000;EMB-145LR;
N14998;2000;EMB-145LR;
N149AT;2004;737-76N;
N1501P;1990;767-3P6;
N154AW;1987;737-3G7;
N154SF;1996;CL-600-2B19;
N15555;;EMB-145LR;
N15572;2002;EMB-145LR;
N15574;;EMB-145LR;
N155AW;1987;737-3G7;
N156AW;1987;737-3G7;
N15710;1998;737-724;
N15712;1998;737-724;
N157AW;1987;737-3G7;
N15910;2001;EMB-145LR;
N15912;2001;EMB-145LR;
N15948;1998;EMB-145EP;
N15973;1999;EMB-145LR;
N15980;1999;EMB-145LR;
N15983;2000;EMB-145LR;
N15985;2000;EMB-145LR;
N15986;2000;EMB-145LR;
N16065;1999;767-332;
N1608;2000;767-332;
N16112;2002;EMB-145XR;
N1611B;2000;767-332;
N1612T;2001;767-332;
N1613B;2001;767-332;
N16147;2003;EMB-145XR;
N16149;2003;EMB-145XR;
N16151;2003;EMB-145XR;
N16183;2005;EMB-145XR;
N161UW;2001;A321-211;
N16217;1998;737-824;
N16234;1999;737-824;
N162UW;2001;A321-211;
N16301;1985;737-3TO;
N163US;2001;A321-211;
N164AW;1986;737-33A;
N16541;2001;EMB-145LR;
N16571;2002;EMB-145LR;
N165US;2001;A321-211;
N16617;;;
N16632;1995;737-524;
N16646;1997;737-524;
N16647;1997;737-524;
N16648;1997;737-524;
N16649;1997;737-524;
N166AT;2004;737-7BD;
N166AW;1986;737-33A;
N16701;1998;737-724;
N16703;1998;737-724;
N16709;1998;737-724;
N16713;1998;737-724;
N16732;1999;737-724;
N167AT;2004;737-7BD;
N167US;2001;A321-211;
N168AT;2004;737-76N;
N168AW;1986;737-33A;
N16911;2001;EMB-145LR;
N16918;2001;EMB-145LR;
N16919;2001;EMB-145LR;
N16927;1996;EMB-145EP;
N16944;1998;EMB-145EP;
N16951;1998;EMB-145LR;
N16954;1998;EMB-145LR;
N16961;1999;EMB-145LR;
N16963;1999;EMB-145LR;
N16976;1999;EMB-145LR;
N16987;2000;EMB-145LR;
N16999;2000;EMB-145LR;
N169AT;2004;737-76N;
N169UW;2001;A321-211;
