matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N354SW;1991;737-3H4;
N355AA;1988;767-323;
N355CA;2002;CL-600-2C10;
N355NB;2002;A319-114;
N355NW;1998;A320-212;
N356AA;;;
N356NW;1998;A320-212;
N356SW;1991;737-3H4;
N357AA;1988;767-323;
N357NB;2002;A319-114;
N357NW;1998;A320-212;
N357SW;1992;737-3H4;
N358AA;1988;767-323;
N358NB;2003;A319-114;
N358NW;1998;A320-212;
N358SW;1992;737-3H4;
N359AA;1988;767-323;
N359NB;2003;A319-114;
N359NW;1998;A320-212;
N360AA;1988;767-323;
N360NB;2003;A319-114;
N360NW;1998;A320-212;
N360SW;1992;737-3H4;
N361NB;2003;A319-114;
N361NW;1998;A320-212;
N361SW;1992;737-3H4;
N36207;2000;737-824;
N36247;1999;737-824;
N36272;2001;737-824;
N36280;2003;737-824;
N362AA;1988;767-323;
N362NW;1998;A320-212;
N362SW;1992;737-3H4;
N363AA;1988;767-323;
N363NB;2003;A319-114;
N363NW;1998;A320-212;
N363SW;1993;737-3H4;
N364NB;2003;A319-114;
N364NW;1999;A320-212;
N365NB;2003;A319-114;
N365NW;1999;A320-212;
N365SW;1993;737-3H4;
N365UA;1989;737-322;
N366NB;2003;A319-114;
N366NW;1999;A320-212;
N366UA;1989;737-322;
N367AA;;;
N367CA;2002;CL-600-2C10;
N367NW;1999;A320-212;
N367SW;1993;737-3H4;
N367UA;1989;737-322;
N368CA;2003;CL-600-2C10;
N368NB;2003;A319-114;
N368NW;1999;A320-212;
N368SW;1993;737-3H4;
N36915;2001;EMB-145LR;
N369AA;1992;767-323;
N369CA;2003;CL-600-2C10;
N369NB;2003;A319-114;
N369NW;1999;A320-212;
N369SW;1993;737-3H4;
N369UA;1989;737-322;
N370AA;1992;767-323;
N370NB;2003;A319-114;
N370NW;1999;A320-212;
N370SW;1993;737-3H4;
N370UA;1989;737-322;
N37178;1997;CL-600-2B19;
N371AA;1992;767-323;
N371CA;2003;CL-600-2C10;
N371DA;1998;737-832;
N371NB;2003;A319-114;
N371NW;2001;A320-212;
N371SW;1993;737-3H4;
N371UA;1989;737-322;
N37208;1997;CL-600-2B19;
N37252;2000;737-824;
N37253;2000;737-824;
N37255;2000;737-824;
N37263;2001;737-824;
N37267;2001;737-824;
N37273;2001;737-824;
N37274;2002;737-824;
N37277;2002;737-824;
N37281;2003;737-824;
N37287;2004;737-824;
N37290;2004;737-824;
N37293;2005;737-824;
N37298;2005;737-824;
N372AA;1992;767-323;
N372DA;1998;737-832;
N372NW;2001;A320-212;
N372SW;1993;737-3H4;
N372UA;1989;737-322;
N3730B;2000;737-832;
N3731T;2000;737-832;
N3732J;2000;737-832;
N3733Z;2000;737-832;
N37342;1999;CL-600-2B19;
N3734B;2000;737-832;
N3735D;2000;737-832;
N3736C;2000;737-832;
N3737C;2000;737-832;
N3738B;2000;737-832;
N3739P;;;
N373DA;1998;737-832;
N373NW;2001;A320-212;
N373SW;1993;737-3H4;
N373UA;1989;737-322;
N37408;2001;737-924;
N37409;2001;737-924;
N3740C;2000;737-832;
N37413;;737-924ER;
N37419;2008;737-924ER;
N3741S;2001;737-832;
N37420;;737-924ER;
N37422;;;
N37427;;;
N3742C;2001;737-832;
N3743H;2001;737-832;
N3744D;1957;182A;
N3745B;2001;737-832;
N3746H;2001;737-832;
N3747D;2001;737-832;
N3748Y;2001;737-832;
N3749D;2001;737-832;
N374AA;1992;767-323;
N374CA;;CL-600-2C10;
N374DA;1998;737-832;
N374NW;2001;A320-212;
N374SW;1993;737-3H4;
N374UA;1989;737-322;
N3750D;2001;737-832;
N3751B;2001;737-832;
N3752;2001;737-832;
N3753;2001;737-832;
N3754A;2001;737-832;
N3755D;2001;737-832;
N3756;2001;737-832;
N3757D;2001;737-832;
N3758Y;2001;737-832;
N3759;2001;737-832;
N375AA;1974;690A;
N375DA;1998;737-832;
N375NC;2002;A320-212;
N375SW;1993;737-3H4;
N375UA;1989;737-322;
N3760C;2001;737-832;
N37615;1994;737-524;
N3761R;2001;737-832;
N3762Y;2001;737-832;
N3763D;2001;737-832;
N3764D;2001;737-832;
N3765;2001;737-832;
N3767;2001;737-832;
N3768;2002;737-832;
N3769L;2002;737-832;
N376AA;1978;PA-32RT-300;
N376CA;2003;CL-600-2C10;
N376DA;1999;737-832;
N376NW;2002;A320-212;
N376SW;1994;737-3H4;
N376UA;1990;737-322;
N37700;2002;737-832;
N3771K;2002;737-832;
N377AA;;FALCON XP;
N377DA;1999;737-832;
N377NW;2003;A320-211;
N377UA;1990;737-322;
N378AA;1963;172E;
N378CA;2003;CL-600-2C10;
N378DA;1999;737-832;
N378NW;2003;A320-211;
N378SW;1994;737-3H4;
N379AA;1993;767-323;
N379CA;2003;CL-600-2C10;
N379DA;1999;737-832;
N379SW;1994;737-3H4;
N379UA;1990;737-322;
N380AA;;AS 355F1;
N380DA;1999;737-832;
N380SW;1994;737-3H4;
N381AA;1956;DC-7BF;
N381UA;1990;737-322;
N38257;2000;737-824;
N38268;2001;737-824;
N382AA;;1121;
N382DA;1999;737-832;
N382SW;1994;737-3H4;
N382UA;1990;737-322;
N383AA;1972;E-90;
N383DN;1999;737-832;
N383UA;1990;737-322;
N38403;2001;737-924;
N38417;2008;737-924ER;
N38424;;;
N384AA;1993;767-323;
N384DA;1999;737-832;
N384SW;1994;737-3H4;
N385AA;;;
N385DN;1999;737-832;
N385SW;1994;737-3H4;
N385UA;1990;737-322;
N386DA;1999;737-832;
N386SW;1994;737-3H4;
N386UA;1990;737-322;
N38727;1999;737-724;
N387AA;;;
N387DA;2000;737-832;
N387SW;1994;737-3H4;
N388AA;1995;767-323;
N388DA;2000;737-832;
N388SW;1994;737-3H4;
N389DA;2000;737-832;
N389SW;1994;737-3H4;
N390AA;1995;767-323;
N390CA;2003;CL-600-2C10;
N390DA;2000;737-832;
N390SW;1994;737-3H4;
N391AA;1995;767-323;
N391CA;2003;CL-600-2C10;
N391DA;2000;737-832;
N391SW;1994;737-3H4;
N39297;2005;737-824;
N392DA;2000;737-832;
N392SW;1994;737-3H4;
N393DA;2000;737-832;
N393SW;1997;EMB-120ER;
N39415;2008;737-924ER;
N39416;2008;737-924ER;
N39418;2008;737-924ER;
N39423;;;
N394AA;2007;A-1B;
N394DA;2000;737-832;
N394SW;1994;737-3H4;
N395DN;2000;737-832;
N395SW;1994;737-3H4;
N396DA;2000;737-832;
N39726;1999;737-724;
N39728;1999;737-724;
N397AA;;;
N397DA;2000;737-832;
N397SW;1995;737-3H4;
N398AA;;;
N398CA;2003;CL-600-2C10;
N398DA;2000;737-832;
N398SW;1995;737-3H4;
N399AA;;;
N399DA;2000;737-832;
N399UA;1990;737-322;
N399WN;1995;737-3H4;
N3AAAA;;;
N3ABAA;;;
N3ACAA;;;
N3AEAA;;;
N3AFAA;;;
N3AGAA;;;
N3AHAA;;;
N3AJAA;;;
N3AKAA;;;
N3ALAA;;;
N3AMAA;;;
N3ANAA;;;
N3APAA;;;
N3ARAA;;;
N3ASAA;;;
N3ATAA;;;
N3AUAA;;;
N3AVAA;;;
N3AWAA;;;
N3AYAA;;;
N3BAAA;;;
N3BBAA;;;
N3BCAA;;;
N3BDAA;;;
N3BEAA;;;
N3BFAA;;;
N3BGAA;;;
N3BHAA;;;
N3BJAA;;;
N3BKAA;;;
N3BLAA;;;
N3BMAA;;;
N3BNAA;;;
N3BPAA;;;
N3BRAA;;;
N3BSAA;;;
N3BTAA;;;
N3BUAA;;;
N3BVAA;;;
N3BWAA;;;
N3BXAA;;;
N3BYAA;;;
N3CAAA;;;
N3CBAA;;;
N3CCAA;;;
N3CDAA;;;
N3CEAA;;;
N3CFAA;;;
N3CGAA;;;
N3CHAA;;;
N3CJAA;;;
N3CKAA;;;
N3CLAA;;;
N3CMAA;;;
N3CNAA;;;
N3CPAA;;;
N3CRAA;;;
N3CSAA;;;
N3CTAA;;;
N3CUAA;;;
N3CVAA;;;
N3CWAA;;;
N3CXAA;;;
N3CYAA;;;
N3DAAA;;;
N3DBAA;;;
N3DCAA;;;
N3DDAA;;;
N3DEAA;;;
N3DFAA;;;
N3DGAA;;;
N3DHAA;;;
N3DJAA;;;
N3DKAA;;;
N3DLAA;;;
N400WN;2001;737-7H4;
N401AA;;S-50A;
N401EA;1975;DC-9-51;
N401UA;1993;A320-232;
N401WN;2001;737-7H4;
N402UA;1993;A320-232;
N402WN;2001;737-7H4;
N403AA;;;
N403SW;1993;CL-600-2B19;
N403UA;1993;A320-232;
N403WN;2001;737-7H4;
N404US;1989;737-401;
N404WN;2001;737-7H4;
N405SW;1993;CL-600-2B19;
N405UA;1993;A320-232;
N405US;1989;737-401;
N405WN;2001;737-7H4;
N406SW;1993;CL-600-2B19;
N406UA;1994;A320-232;
N406US;1988;737-401;
N406WN;2001;737-7H4;
N407SW;1994;CL-600-2B19;
N407UA;1994;A320-232;
N407WN;2001;737-7H4;
N408AA;1986;DC-9-82(MD-82);
N408CA;2000;CL-600-2B19;
N408SW;1994;CL-600-2B19;
N408UA;1994;A320-232;
N408WN;2001;737-7H4;
N409CA;2000;CL-600-2B19;
N409SW;1994;CL-600-2B19;
N409UA;1994;A320-232;
N409US;1988;737-401;
N409WN;2001;737-7H4;
N410AA;1986;DC-9-82(MD-82);
N410SW;1995;CL-600-2B19;
N410UA;1994;A320-232;
N410WN;2001;737-7H4;
N41104;2002;EMB-145XR;
N41135;1999;757-224;
N41140;2000;757-224;
N411AA;1986;DC-9-82(MD-82);
N411SW;1995;CL-600-2B19;
N411UA;1994;A320-232;
N411WN;2001;737-7H4;
N412AA;1986;DC-9-82(MD-82);
N412SW;1995;CL-600-2B19;
N412UA;1994;A320-232;
N412WN;2001;737-7H4;
N413AA;1986;DC-9-82(MD-82);
N413SW;1996;CL-600-2B19;
N413UA;1994;A320-232;
N413WN;2001;737-7H4;
N414AA;;;
N414UA;1994;A320-232;
N414WN;2001;737-7H4;
N415AA;1986;DC-9-82(MD-82);
N415UA;1994;A320-232;
N415WN;2001;737-7H4;
N416AA;1986;DC-9-82(MD-82);
N416SW;1995;CL-600-2B19;
N416UA;1994;A320-232;
N416WN;2001;737-7H4;
N417AA;1986;DC-9-82(MD-82);
N417SW;;CL-600-2B19;
N417UA;1994;A320-232;
N417US;1989;737-401;
N417WN;2001;737-7H4;
N418AA;1986;DC-9-82(MD-82);
N418UA;1994;A320-232;
N418US;1989;737-401;
N418WN;2001;737-7H4;
N419AA;1986;DC-9-82(MD-82);
N419UA;1994;A320-232;
N419US;1989;737-401;
N419WN;2001;737-7H4;
N420AA;1986;DC-9-82(MD-82);
N420CA;2000;CL-600-2B19;
N420UA;1994;A320-232;
N420US;1989;737-401;
N420WN;2001;737-7H4;
N421AA;1962;421C;
N421LV;2001;737-7H4;
N421UA;1994;A320-232;
N421US;1989;737-401;
N422AA;1986;DC-9-82(MD-82);
N422UA;1995;A320-232;
N422US;1989;737-401;
N422WN;2002;737-7H4;
N423AA;1986;DC-9-82(MD-82);
N423SW;2000;CL-600-2B19;
N423UA;1995;A320-232;
N423US;1989;737-401;
N423WN;2002;737-7H4;
N424AA;1986;DC-9-82(MD-82);
N424UA;1995;A320-232;
N424US;1989;737-401;
N424WN;2002;737-7H4;
N425AA;1968;PA-28-180;
N425LV;2002;737-7H4;
N425UA;1995;A320-232;
N425US;1989;737-401;
N426AA;1986;DC-9-82(MD-82);
N426SW;2001;CL-600-2B19;
N426UA;1995;A320-232;
N426US;1989;737-4B7;
N426WN;2002;737-7H4;
N427AA;1986;DC-9-82(MD-82);
N427CA;2000;CL-600-2B19;
N427SW;2001;CL-600-2B19;
N427UA;1995;A320-232;
N427US;1989;737-4B7;
N427WN;2002;737-7H4;
N428UA;1995;A320-232;
N428WN;2002;737-7H4;
N429SW;2001;CL-600-2B19;
N429UA;1995;A320-232;
N429WN;2002;737-7H4;
N430AA;1986;DC-9-82(MD-82);
N430CA;2000;CL-600-2B19;
N430SW;2001;CL-600-2B19;
N430UA;1996;A320-232;
N430US;1989;737-4B7;
N430WN;2002;737-7H4;
N431AA;1986;DC-9-82(MD-82);
N431SW;2001;CL-600-2B19;
N431UA;1996;A320-232;
N431WN;2002;737-7H4;
N432AA;1987;DC-9-82(MD-82);
N432SW;2001;CL-600-2B19;
N432UA;1996;A320-232;
N432WN;2003;737-7H4;
N433AA;1987;DC-9-83(MD-83);
N433LV;2003;737-7H4;
N433SW;2001;CL-600-2B19;
N433UA;1996;A320-232;
N433US;1990;737-4B7;
N434AA;1987;DC-9-83(MD-83);
N434UA;1996;A320-232;
N434US;1990;737-4B7;
N434WN;2003;737-7H4;
N434YV;1996;DHC-8-202;
N435AA;1987;DC-9-83(MD-83);
N435CA;2001;CL-600-2B19;
N435SW;2001;CL-600-2B19;
N435UA;1996;A320-232;
N435US;1990;737-4B7;
N435WN;2003;737-7H4;
N436AA;1987;DC-9-83(MD-83);
N436CA;2001;CL-600-2B19;
N436UA;1996;A320-232;
N436WN;2003;737-7H4;
N436YV;1996;DHC-8-202;
N437AA;1987;DC-9-83(MD-83);
N437SW;2001;CL-600-2B19;
N437UA;1997;A320-232;
N437WN;2003;737-7H4;
N437YV;;DHC-8-202;
N438AA;1987;DC-9-83(MD-83);
N438SW;2001;CL-600-2B19;
N438UA;1997;A320-232;
N438US;1990;737-4B7;
N438WN;2003;737-7H4;
N439AA;1987;DC-9-83(MD-83);
N439SW;2001;CL-600-2B19;
N439UA;1997;A320-232;
N439US;1990;737-4B7;
N439WN;2003;737-7H4;
N440AA;1987;DC-9-82(MD-82);
N440LV;2003;737-7H4;
N440SW;2001;CL-600-2B19;
N440UA;1997;A320-232;
N440US;1990;737-4B7;
N441AA;1987;DC-9-82(MD-82);
N441SW;2002;CL-600-2B19;
N441UA;1997;A320-232;
N441US;1990;737-4B7;
N441WN;2003;737-7H4;
N442AA;1987;DC-9-82(MD-82);
N442CA;2001;CL-600-2B19;
N442SW;2002;CL-600-2B19;
N442UA;1998;A320-232;
N442US;1990;737-4B7;
N442WN;2003;737-7H4;
N443AA;1987;DC-9-82(MD-82);
N443CA;2001;CL-600-2B19;
N443SW;;CL-600-2B19;
N443UA;1998;A320-232;
N443US;1990;737-4B7;
N443WN;2003;737-7H4;
N444AA;1973;182P;
N444UA;1998;A320-232;
N444US;1990;737-4B7;
N444WN;2003;737-7H4;
N444YV;1996;DHC-8-202;
N445AA;1987;DC-9-82(MD-82);
N445SW;2002;CL-600-2B19;
N445UA;1998;A320-232;
N445US;1990;737-4B7;
N445WN;2003;737-7H4;
N445YV;1996;DHC-8-202;
N446AA;1987;DC-9-82(MD-82);
N446CA;;CL-600-2B19;
N446SW;2002;CL-600-2B19;
N446UA;1998;A320-232;
N446WN;2003;737-7H4;
N446YV;1996;DHC-8-202;
N447AA;1987;DC-9-82(MD-82);
N447CA;2001;CL-600-2B19;
N447SW;2002;CL-600-2B19;
N447UA;1998;A320-232;
N447WN;2003;737-7H4;
N447YV;1996;DHC-8-202;
N448AA;1987;DC-9-82(MD-82);
N448SW;2002;CL-600-2B19;
N448WN;2003;737-7H4;
N448YV;1996;DHC-8-202;
N449AA;1987;DC-9-82(MD-82);
N449SW;2002;CL-600-2B19;
N449UA;1998;A320-232;
N449US;1990;737-4B7;
N449WN;2003;737-7H4;
N449YV;1996;DHC-8-202;
N450AA;1987;DC-9-82(MD-82);
N450UW;1990;737-4B7;
N450WN;2004;737-7H4;
N451AA;1987;DC-9-82(MD-82);
N451CA;2001;CL-600-2B19;
N451UA;1998;A320-232;
N451UW;1990;737-4B7;
N451WN;2004;737-7H4;
N452AA;1988;DC-9-82(MD-82);
N452SW;2002;CL-600-2B19;
N452UA;1999;A320-232;
N452UW;1991;737-4B7;
N452WN;2004;737-7H4;
N453AA;1988;DC-9-82(MD-82);
N453SW;2003;CL-600-2B19;
N453UA;1999;A320-232;
N453UW;1991;737-4B7;
N453WN;2004;737-7H4;
N454AA;1987;DC-9-82(MD-82);
N454SW;2003;CL-600-2B19;
N454UA;1999;A320-232;
N454UW;1991;737-4B7;
N454WN;2004;737-7H4;
N454YV;1997;DHC-8-202;
N455AA;1988;DC-9-82(MD-82);
N455CA;2002;CL-600-2B19;
N455SW;2003;CL-600-2B19;
N455UA;1999;A320-232;
N455UW;1991;737-4B7;
N455WN;2004;737-7H4;
N455YV;1997;DHC-8-202;
N456AA;1988;DC-9-82(MD-82);
N456UA;1999;A320-232;
N456UW;1991;737-4B7;
N456WN;2004;737-7H4;
N457AA;1988;DC-9-82(MD-82);
N457SW;2003;CL-600-2B19;
N457UA;1999;A320-232;
N457UW;1991;737-4B7;
N457WN;2004;737-7H4;
N458AA;1988;DC-9-82(MD-82);
N458UA;2000;A320-232;
N458UW;1991;737-4B7;
N458WN;2004;737-7H4;
N459AA;1988;DC-9-82(MD-82);
N459SW;2003;CL-600-2B19;
N459UA;2000;A320-232;
N459UW;1991;737-4B7;
N459WN;2004;737-7H4;
N460AA;1988;DC-9-82(MD-82);
N460SW;2003;CL-600-2B19;
N460UW;1991;737-4B7;
N460WN;2004;737-7H4;
N461AA;1988;DC-9-82(MD-82);
N461SW;2003;CL-600-2B19;
N461UA;2000;A320-232;
N461WN;2004;737-7H4;
N462AA;1988;DC-9-82(MD-82);
N462UA;2000;A320-232;
N462WN;2004;737-7H4;
N463AA;1988;DC-9-82(MD-82);
N463SW;2003;CL-600-2B19;
N463UA;2000;A320-232;
N463WN;2004;737-7H4;
N464AA;1988;DC-9-82(MD-82);
N464SW;2003;CL-600-2B19;
N464UA;2000;A320-232;
N464WN;2004;737-7H4;
N465AA;;;
N465SW;2003;CL-600-2B19;
N465UA;2000;A320-232;
N465WN;2004;737-7H4;
N46625;1995;737-524;
N466AA;1988;DC-9-82(MD-82);
N466SW;2003;CL-600-2B19;
N466UA;;A320-232;
N466WN;2004;737-7H4;
N467AA;1988;DC-9-82(MD-82);
N467UA;2000;A320-232;
N467WN;2004;737-7H4;
N468AA;1988;DC-9-82(MD-82);
N468CA;;CL-600-2B19;
N468UA;2000;A320-232;
N468WN;2004;737-7H4;
N469AA;1988;DC-9-82(MD-82);
N469UA;2001;A320-232;
N469WN;2004;737-7H4;
N470AA;1988;DC-9-82(MD-82);
N470UA;2001;A320-232;
N470WN;2004;737-7H4;
N471AA;1988;DC-9-82(MD-82);
N471CA;2002;CL-600-2B19;
N471UA;2001;A320-232;
N47202;1997;CL-600-2B19;
N472AA;1988;DC-9-82(MD-82);
N472UA;2001;A320-232;
N472WN;2004;737-7H4;
N473AA;1988;DC-9-82(MD-82);
N473UA;2001;A320-232;
N473WN;2004;737-7H4;
N47414;;737-924ER;
N474AA;1974;172M;
N474UA;2001;A320-232;
N474WN;2004;737-7H4;
N475AA;1988;DC-9-82(MD-82);
N475HA;2001;717-200;
N475UA;2001;A320-232;
N475WN;2004;737-7H4;
N476AA;1988;DC-9-82(MD-82);
N476HA;2001;717-200;
N476UA;2001;A320-232;
N476WN;2004;737-7H4;
N477AA;1988;DC-9-82(MD-82);
N477CA;2002;CL-600-2B19;
N477HA;2001;717-200;
N477UA;2001;A320-232;
N477WN;2004;737-7H4;
N478AA;1988;DC-9-82(MD-82);
N478HA;2001;717-200;
N478UA;2001;A320-232;
N478WN;2004;737-7H4;
N479AA;1988;DC-9-82(MD-82);
N479CA;2002;CL-600-2B19;
N479HA;2001;717-200;
N479UA;2001;A320-232;
N479WN;2004;737-7H4;
N480AA;1988;DC-9-82(MD-82);
N480HA;2001;717-200;
N480UA;2001;A320-232;
N480WN;2004;737-7H4;
N48127;1998;757-224;
N481AA;1988;DC-9-82(MD-82);
N481HA;2001;717-200;
N481UA;2001;A320-232;
N481WN;2004;737-7H4;
N482AA;1988;DC-9-82(MD-82);
N482UA;2001;A320-232;
N482WN;2004;737-7H4;
N483AA;;;
N483HA;;;
N483UA;2001;A320-232;
N483WN;2004;737-7H4;
N484AA;1988;DC-9-82(MD-82);
N484HA;2001;717-200;
N484UA;2001;A320-232;
N484WN;2004;737-7H4;
N485AA;1988;DC-9-82(MD-82);
N485UA;2001;A320-232;
N485WN;2004;737-7H4;
N486AA;1988;DC-9-82(MD-82);
N486HA;2001;717-200;
N486UA;2001;A320-232;
N486WN;2004;737-7H4;
N487AA;1988;DC-9-82(MD-82);
N487HA;2001;717-200;
N487UA;2002;A320-232;
N487WN;2004;737-7H4;
N488AA;1988;DC-9-82(MD-82);
N488UA;2002;A320-232;
N488WN;2004;737-7H4;
N48901;2001;EMB-145LR;
N489AA;1989;DC-9-82(MD-82);
N489UA;2002;A320-232;
N489WN;2004;737-7H4;
N490AA;1989;DC-9-82(MD-82);
N490UA;2002;A320-232;
N490WN;2004;737-7H4;
N491AA;1989;DC-9-82(MD-82);
N491UA;2002;A320-232;
N491WN;2004;737-7H4;
N492AA;1989;DC-9-82(MD-82);
N492SW;1997;CL-600-2B19;
N492UA;2002;A320-232;
N492WN;2004;737-7H4;
N493AA;1989;DC-9-82(MD-82);
N493UA;2002;A320-232;
N493WN;2004;737-7H4;
N494AA;1989;DC-9-82(MD-82);
N494CA;2003;CL-600-2B19;
N494UA;2002;A320-232;
N494WN;2004;737-7H4;
N495AA;1989;DC-9-82(MD-82);
N495CA;2003;CL-600-2B19;
N495UA;2002;A320-232;
N495WN;2004;737-7H4;
N496AA;1989;DC-9-82(MD-82);
N496CA;2003;CL-600-2B19;
N496UA;2002;A320-232;
N496WN;2004;737-7H4;
N497AA;1989;DC-9-82(MD-82);
N497UA;2002;A320-232;
N497WN;2004;737-7H4;
N498CA;2003;CL-600-2B19;
N498UA;2002;A320-232;
N498WN;2005;737-7H4;
N499WN;2005;737-7H4;
N4UBAA;;;
N4UCAA;;;
N4WAAA;;;
N4WBAA;;;
N4WDAA;;;
N4WJAA;;;
N4WKAA;;;
N4WLAA;;;
N4WMAA;;;
N4WNAA;;;
N4WPAA;;;
N4WRAA;;;
N4WSAA;;;
N4WUAA;;;
N4WVAA;;;
N4WWAA;;;
N4WXAA;;;
N4WYAA;;;
N4XAAA;;;
N4XBAA;;;
N4XCAA;;;
N4XDAA;;;
N4XEAA;;;
N4XFAA;;;
N4XGAA;;;
N4XHAA;;;
N4XJAA;;;
N4XKAA;;;
N4XLAA;;;
N4XMAA;;;
N4XNAA;;;
N4XPAA;;;
N4XRAA;;;
N4XSAA;;;
N4XTAA;;;
N4XUAA;;;
N4XVAA;;;
N4XWAA;;;
N4XXAA;;;
N4XYAA;;;
N4YAAA;;;
N4YBAA;;;
N4YCAA;;;
N4YDAA;;;
N4YEAA;;;
N4YFAA;;;
N4YGAA;;;
N4YHAA;;;
N4YJAA;;;
N4YKAA;;;
N4YLAA;;;
N4YMAA;;;
N4YNAA;;;
N4YPAA;;;
N4YRAA;;;
N4YSAA;;;
N4YTAA;;;
N500MQ;;;
N501AA;1989;DC-9-82(MD-82);
N501MJ;2002;CL-600-2C10;
N501MQ;;;
N501SW;1990;737-5H4;
N501UA;1989;757-222;
N501US;1985;757-251;
N502AA;;;
N502MJ;2002;CL-600-2C10;
N502MQ;;;
N502SW;1990;737-5H4;
N502UA;1989;757-222;
N502US;1985;757-251;
N503AA;;;
N503MJ;2002;CL-600-2C10;
N503MQ;;;
N503SW;1990;737-5H4;
N503UA;1989;757-222;
N503US;1985;757-251;
N504AA;;;
N504AU;1987;737-3B7;
N504JB;1999;A320-232;
N504MJ;2002;CL-600-2C10;
N504MQ;;;
N504SW;1990;737-5H4;
N504UA;1989;757-222;
N504US;1987;757-251;
N505AA;1989;DC-9-82(MD-82);
N505AU;1987;737-3B7;
N505JB;2000;A320-232;
N505MJ;2002;CL-600-2C10;
N505MQ;;;
N505SW;1990;737-5H4;
N505UA;1989;757-222;
N506AA;;;
N506AS;;;
N506AU;1987;737-3B7;
N506CA;2003;CL-600-2B19;
N506JB;2000;A320-232;
N506MJ;2002;CL-600-2C10;
N506MQ;;;
N506SW;1990;737-5H4;
N506UA;1990;757-222;
N506US;1985;757-251;
N507AA;1997;FALCON-XP;
N507CA;2003;CL-600-2B19;
N507MJ;2003;CL-600-2C10;
N507MQ;;;
N507SW;1990;737-5H4;
N507UA;1990;757-222;
N508AA;1975;206B;
N508AS;;;
N508MJ;2003;CL-600-2C10;
N508MQ;;;
N508UA;1990;757-222;
N509AA;;FALCON-XP;
N509JB;2000;A320-232;
N509MJ;2003;CL-600-2C10;
N509MQ;;;
N509SW;1990;737-5H4;
N509UA;1990;757-222;
N510AA;1982;T210N;
N510JB;2000;A320-232;
N510MJ;2003;CL-600-2C10;
N510MQ;;;
N510SW;1990;737-5H4;
N510UA;1990;757-222;
N511AA;;;
N511MJ;2003;CL-600-2C10;
N511SW;1991;737-5H4;
N511UA;1990;757-222;
N512AA;;;
N512AS;;;
N512MJ;2003;CL-600-2C10;
N512MQ;;;
N512SW;1991;737-5H4;
N513AS;;;
N513MJ;2003;CL-600-2C10;
N513MQ;;;
N513SW;1991;737-5H4;
N513UA;1990;757-222;
N514AA;;;
N514AS;;;
N514MJ;2003;CL-600-2C10;
N514MQ;;;
N514SW;1991;737-5H4;
N514UA;1990;757-222;
N514US;1986;757-251;
N515AA;;;
N515MJ;2003;CL-600-2C10;
N515MQ;;;
N515SW;1991;737-5H4;
N515UA;1990;757-222;
N516AA;;;
N516AU;1987;737-3B7;
N516LR;2006;CL-600-2C10;
N516MQ;;;
N516US;1986;757-251;
N517AA;;;
N517JB;2000;A320-232;
N517MQ;;;
N517UA;1990;757-222;
N517US;1986;757-251;
N518AA;;;
N518CA;2003;CL-600-2B19;
N518LR;2006;CL-600-2C10;
N518MQ;;;
N518UA;1990;757-222;
N518US;1986;757-251;
N519AA;1979;550;
N519JB;2001;A320-232;
N519LR;2006;CL-600-2C10;
N519MQ;;;
N519SW;1991;737-5H4;
N519UA;1990;757-222;
N519US;1986;757-251;
N520AA;;;
N520JB;2001;A320-232;
N520MQ;;;
N520SW;1991;737-5H4;
N520UA;1990;757-222;
N521AA;;;
N521LR;2006;CL-600-2C10;
N521SW;1991;737-5H4;
N521UA;1990;757-222;
N521US;1986;757-251;
N522AA;;;
N522MQ;;;
N522SW;1992;737-5H4;
N522UA;1990;757-222;
N522US;1987;757-251;
N523AA;1968;60;
N523CA;2003;CL-600-2B19;
N523JB;2001;A320-232;
N523MQ;;;
N523SW;1992;737-5H4;
N523UA;1990;757-222;
N523US;1987;757-251;
N524AA;;;
N524JB;2001;A320-232;
N524MQ;;;
N524SW;1992;737-5H4;
N524UA;1990;757-222;
N525AA;1980;PA-31-350;
N525SW;1992;737-5H4;
N525UA;1991;757-222;
N52616;1994;737-524;
N526AA;;;
N526CA;2003;CL-600-2B19;
N526SW;1992;737-5H4;
N526UA;1991;757-222;
N526US;1987;757-251;
N527AA;;;
N527AU;1988;737-3B7;
N527SW;1992;737-5H4;
N527UA;1991;757-222;
N527US;1987;757-251;
N528AA;;;
N528CA;2003;CL-600-2B19;
N528SW;1992;737-5H4;
N528UA;1991;757-222;
N528US;1987;757-251;
N529AA;;;
N529AU;1989;737-3B7;
N529JB;2001;A320-232;
N529UA;1991;757-222;
N529US;1987;757-251;
N530AU;1989;737-3B7;
N530UA;1991;757-222;
N530US;1988;757-251;
N531AA;;;
N531AU;1989;737-3B7;
N531UA;1991;757-222;
N531US;1988;757-251;
N532AA;;;
N532AU;1989;737-3B7;
N532UA;1991;757-222;
N532US;1988;757-251;
N533AA;;;
N533AU;1989;737-3B7;
N533UA;1991;757-222;
N533US;1988;757-251;
N534AA;;;
N534JB;2002;A320-232;
N534UA;1991;757-222;
N534US;1988;757-251;
N535AA;;;
N535JB;2002;A320-232;
N535UA;1991;757-222;
N536AA;;;
N536JB;2002;A320-232;
N536UA;1991;757-222;
N537AA;;;
N537UA;1991;757-222;
N538AA;;;
N538CA;2008;CL600-2D24;
N538UA;1991;757-222;
