numeroVuelo(flightNum);fecha(flightDate);horaSalida(crsDepTime);horaLlegada(crsArrTime);aeropuertoSalida(originiata);aeropuertoLlegada(destinata);compagnia(carrierCode);avion(tailNum);
268;26/10/2008;740;1610;SEA;JFK;AA;N5DAAA;
268;27/10/2008;740;1610;SEA;JFK;AA;N5CKAA;
269;25/10/2008;1650;2000;JFK;SEA;AA;N5FSAA;
269;26/10/2008;1650;2000;JFK;SEA;AA;N635AA;
269;27/10/2008;1650;2000;JFK;SEA;AA;N617AA;
270;25/10/2008;725;1550;HNL;LAX;AA;N391AA;
270;26/10/2008;725;1550;HNL;LAX;AA;N374AA;
270;27/10/2008;725;1550;HNL;LAX;AA;N367AA;
272;25/10/2008;2320;735;SFO;MIA;AA;N639AA;
272;26/10/2008;2320;735;SFO;MIA;AA;N630AA;
272;27/10/2008;2320;735;SFO;MIA;AA;N5EHAA;
276;25/10/2008;2255;650;LAX;MIA;AA;N5ECAA;
276;26/10/2008;2255;650;LAX;MIA;AA;N358AA;
276;27/10/2008;2255;650;LAX;MIA;AA;N624AA;
280;25/10/2008;900;1655;LAX;MIA;AA;N388AA;
280;26/10/2008;900;1655;LAX;MIA;AA;N391AA;
280;27/10/2008;900;1655;LAX;MIA;AA;N354AA;
282;25/10/2008;1540;1915;DFW;MCO;AA;N549AA;
282;26/10/2008;1540;1915;DFW;MCO;AA;N492AA;
282;27/10/2008;1540;1915;DFW;MCO;AA;N440AA;
282;25/10/2008;1035;1445;TUS;DFW;AA;N549AA;
282;26/10/2008;1035;1445;TUS;DFW;AA;N492AA;
282;27/10/2008;1035;1445;TUS;DFW;AA;N440AA;
283;25/10/2008;1520;1755;LAX;HNL;AA;N348AA;
283;26/10/2008;1520;1755;LAX;HNL;AA;N367AA;
283;27/10/2008;1520;1755;LAX;HNL;AA;N399AA;
283;25/10/2008;1115;1340;MIA;LAX;AA;N358AA;
283;26/10/2008;1115;1340;MIA;LAX;AA;N367AA;
283;27/10/2008;1115;1340;MIA;LAX;AA;N399AA;
285;25/10/2008;1630;1915;LAX;LIH;AA;N5DHAA;
285;26/10/2008;1630;1915;LAX;LIH;AA;N5DJAA;
285;27/10/2008;1630;1915;LAX;LIH;AA;N5DHAA;
285;25/10/2008;1235;1455;MCO;LAX;AA;N5DHAA;
285;26/10/2008;1235;1455;MCO;LAX;AA;N5DJAA;
285;27/10/2008;1235;1455;MCO;LAX;AA;N5DHAA;
286;25/10/2008;2045;500;LIH;LAX;AA;N5DHAA;
286;26/10/2008;2045;500;LIH;LAX;AA;N5DJAA;
286;27/10/2008;2045;500;LIH;LAX;AA;N5DHAA;
294;25/10/2008;1005;1405;ORD;MIA;AA;N369AA;
294;26/10/2008;1005;1405;ORD;MIA;AA;N382AA;
294;27/10/2008;1005;1405;ORD;MIA;AA;N397AA;
295;25/10/2008;1500;1718;MIA;ORD;AA;N369AA;
295;26/10/2008;1500;1718;MIA;ORD;AA;N382AA;
295;27/10/2008;1500;1718;MIA;ORD;AA;N363AA;
297;25/10/2008;1840;2120;LAX;HNL;AA;N5FAAA;
297;26/10/2008;1840;2120;LAX;HNL;AA;N5ERAA;
297;27/10/2008;1840;2120;LAX;HNL;AA;N5ECAA;
298;25/10/2008;2250;710;HNL;LAX;AA;N5FAAA;
298;26/10/2008;2250;710;HNL;LAX;AA;N5ERAA;
298;27/10/2008;2250;710;HNL;LAX;AA;N5ECAA;
299;25/10/2008;820;1055;MIA;LAX;AA;N7AGAA;
299;27/10/2008;820;1055;MIA;LAX;AA;N7BUAA;
300;25/10/2008;715;1055;DFW;RDU;AA;N578AA;
300;27/10/2008;715;1055;DFW;RDU;AA;N533AA;
301;27/10/2008;605;729;LGA;ORD;AA;N200AA;
301;25/10/2008;825;1040;ORD;SAN;AA;N4WKAA;
301;26/10/2008;825;1040;ORD;SAN;AA;N4YDAA;
301;27/10/2008;825;1040;ORD;SAN;AA;N200AA;
303;25/10/2008;700;825;LGA;ORD;AA;N5FJAA;
303;26/10/2008;700;825;LGA;ORD;AA;N5CPAA;
303;27/10/2008;700;825;LGA;ORD;AA;N5BSAA;
303;25/10/2008;930;1145;ORD;SEA;AA;N5FJAA;
303;26/10/2008;930;1145;ORD;SEA;AA;N5CPAA;
303;27/10/2008;930;1145;ORD;SEA;AA;N5BSAA;
304;25/10/2008;1030;1345;DFW;TPA;AA;N3AMAA;
304;26/10/2008;1030;1345;DFW;TPA;AA;N3AEAA;
304;27/10/2008;1030;1345;DFW;TPA;AA;N3DHAA;
305;25/10/2008;730;900;LGA;ORD;AA;N287AA;
305;26/10/2008;730;900;LGA;ORD;AA;N465AA;
305;27/10/2008;730;900;LGA;ORD;AA;N266AA;
305;25/10/2008;955;1145;ORD;PHX;AA;N287AA;
305;26/10/2008;955;1145;ORD;PHX;AA;N465AA;
305;27/10/2008;955;1145;ORD;PHX;AA;N266AA;
306;25/10/2008;635;1030;DFW;BWI;AA;N4UBAA;
306;26/10/2008;635;1030;DFW;BWI;AA;N287AA;
306;27/10/2008;635;1030;DFW;BWI;AA;N227AA;
308;25/10/2008;735;1445;PHX;MIA;AA;N3DJAA;
