flightNum;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;desvio;divArrDelay;idIncidencia
157;0;;0;;;compania;0;tiempo;0;NAS;20;seguridad;0;previo;0;desvio;0;86
160;0;;0;;;compania;0;tiempo;0;NAS;172;seguridad;0;previo;0;desvio;0;87
166;0;;0;;;compania;0;tiempo;0;NAS;52;seguridad;0;previo;0;desvio;0;88
174;0;;0;;;compania;0;tiempo;2;NAS;0;seguridad;0;previo;0;desvio;0;89
174;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;59;desvio;0;90
182;0;;0;;;compania;10;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;91
182;0;;0;;;compania;0;tiempo;0;NAS;4;seguridad;0;previo;0;desvio;0;92
182;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;45;desvio;0;93
183;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;48;desvio;0;94
184;0;;0;;;compania;4;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;95
184;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;84;desvio;0;96
187;0;;0;;;compania;0;tiempo;0;NAS;40;seguridad;0;previo;0;desvio;0;97
190;0;;0;;;compania;147;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;98
190;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;5;desvio;0;99
197;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;0;100
204;0;;0;;;compania;17;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;101
207;0;;0;;;compania;38;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;102
207;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;6;desvio;0;103
210;0;;0;;;compania;50;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;104
212;0;;0;;;compania;25;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;105
217;0;;0;;;compania;42;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;106
225;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;desvio;0;107
226;0;;0;;;compania;29;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;108
226;0;;0;;;compania;0;tiempo;0;NAS;11;seguridad;0;previo;0;desvio;0;109
230;0;;0;;;compania;25;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;110
231;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;0;111
235;0;;0;;;compania;0;tiempo;0;NAS;27;seguridad;0;previo;0;desvio;0;112
239;0;;0;;;compania;0;tiempo;0;NAS;71;seguridad;0;previo;0;desvio;0;113
242;0;;0;;;compania;0;tiempo;24;NAS;0;seguridad;0;previo;0;desvio;0;114
242;0;;0;;;compania;0;tiempo;0;NAS;18;seguridad;0;previo;0;desvio;0;115
242;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;180;desvio;0;116
250;0;;0;;;compania;31;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;117
256;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;desvio;0;118
258;0;;0;;;compania;41;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;119
258;0;;0;;;compania;0;tiempo;0;NAS;4;seguridad;0;previo;0;desvio;0;120
259;0;;0;;;compania;77;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;121
262;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;0;122
265;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;desvio;0;123
266;0;;0;;;compania;0;tiempo;0;NAS;31;seguridad;0;previo;0;desvio;0;124
281;0;;0;;;compania;45;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;125
282;0;;0;;;compania;0;tiempo;0;NAS;60;seguridad;0;previo;0;desvio;0;126
283;0;;0;;;compania;0;tiempo;0;NAS;38;seguridad;0;previo;0;desvio;0;127
285;0;;0;;;compania;90;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;128
285;0;;0;;;compania;0;tiempo;0;NAS;26;seguridad;0;previo;0;desvio;0;129
288;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;78;desvio;0;130
293;0;;0;;;compania;27;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;131
301;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;desvio;0;132
302;0;;0;;;compania;0;tiempo;0;NAS;20;seguridad;0;previo;0;desvio;0;133
303;0;;0;;;compania;0;tiempo;0;NAS;21;seguridad;0;previo;0;desvio;0;134
311;0;;0;;;compania;16;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;135
322;0;;0;;;compania;39;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;136
322;0;;0;;;compania;0;tiempo;0;NAS;6;seguridad;0;previo;0;desvio;0;137

326;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;0;139

333;0;;0;;;compania;74;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;141
345;0;;0;;;compania;70;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;142
348;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;34;desvio;0;143
364;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;0;144
365;0;;0;;;compania;0;tiempo;0;NAS;103;seguridad;0;previo;0;desvio;0;145
371;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;86;desvio;0;146
388;0;;0;;;compania;0;tiempo;7;NAS;0;seguridad;0;previo;0;desvio;0;147
388;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;11;desvio;0;148
393;0;;0;;;compania;0;tiempo;0;NAS;31;seguridad;0;previo;0;desvio;0;149
394;0;;0;;;compania;0;tiempo;0;NAS;30;seguridad;0;previo;0;desvio;0;150
395;0;;0;;;compania;19;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;151
395;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;0;152
396;0;;0;;;compania;0;tiempo;0;NAS;122;seguridad;0;previo;0;desvio;0;153
397;0;;0;;;compania;0;tiempo;0;NAS;65;seguridad;0;previo;0;desvio;0;154
398;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;76;desvio;0;155
399;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;52;desvio;0;156
401;0;;0;;;compania;0;tiempo;0;NAS;47;seguridad;0;previo;0;desvio;0;157
402;0;;0;;;compania;0;tiempo;0;NAS;79;seguridad;0;previo;0;desvio;0;158
402;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;3;desvio;0;159
404;0;;0;;;compania;0;tiempo;0;NAS;26;seguridad;0;previo;0;desvio;0;160
404;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;13;desvio;0;161
405;0;;0;;;compania;0;tiempo;0;NAS;2;seguridad;0;previo;0;desvio;0;162
405;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;39;desvio;0;163
408;0;;0;;;compania;0;tiempo;0;NAS;42;seguridad;0;previo;0;desvio;0;164
409;0;;0;;;compania;0;tiempo;0;NAS;47;seguridad;0;previo;0;desvio;0;165
412;0;;0;;;compania;21;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;166
413;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;desvio;0;167
415;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;0;168
416;0;;0;;;compania;0;tiempo;0;NAS;128;seguridad;0;previo;0;desvio;0;169
417;0;;0;;;compania;0;tiempo;0;NAS;83;seguridad;0;previo;0;desvio;0;170
418;0;;0;;;compania;0;tiempo;0;NAS;87;seguridad;0;previo;0;desvio;0;171
420;0;;0;;;compania;0;tiempo;11;NAS;0;seguridad;0;previo;0;desvio;0;172
420;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;9;desvio;0;173
421;0;;0;;;compania;18;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;174
421;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;30;desvio;0;175
423;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;0;desvio;0;176
423;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;13;desvio;0;177
424;0;;0;;;compania;0;tiempo;0;NAS;30;seguridad;0;previo;0;desvio;0;178
424;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;16;desvio;0;179
426;0;;0;;;compania;0;tiempo;0;NAS;116;seguridad;0;previo;0;desvio;0;180
427;0;;0;;;compania;0;tiempo;0;NAS;65;seguridad;0;previo;0;desvio;0;181
428;0;;0;;;compania;0;tiempo;4;NAS;0;seguridad;0;previo;0;desvio;0;182
428;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;93;desvio;0;183
429;0;;0;;;compania;18;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;184
429;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;41;desvio;0;185
430;0;;0;;;compania;37;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;186
431;0;;0;;;compania;0;tiempo;0;NAS;16;seguridad;0;previo;0;desvio;0;187
437;0;;0;;;compania;10;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;188
437;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;44;desvio;0;189
439;0;;0;;;compania;0;tiempo;0;NAS;36;seguridad;0;previo;0;desvio;0;190
439;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;5;desvio;0;191
440;0;;0;;;compania;0;tiempo;0;NAS;80;seguridad;0;previo;0;desvio;0;192
441;0;;0;;;compania;0;tiempo;0;NAS;50;seguridad;0;previo;0;desvio;0;193
441;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;1;desvio;0;194
442;0;;0;;;compania;0;tiempo;2;NAS;0;seguridad;0;previo;0;desvio;0;195
442;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;19;desvio;0;196
443;0;;0;;;compania;0;tiempo;0;NAS;8;seguridad;0;previo;0;desvio;0;197
443;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;69;desvio;0;198

451;0;;0;;;compania;0;tiempo;0;NAS;78;seguridad;0;previo;0;desvio;0;200
451;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;13;desvio;0;201
452;0;;0;;;compania;0;tiempo;0;NAS;29;seguridad;0;previo;0;desvio;0;202
453;0;;0;;;compania;0;tiempo;5;NAS;0;seguridad;0;previo;0;desvio;0;203
453;0;;0;;;compania;0;tiempo;0;NAS;5;seguridad;0;previo;0;desvio;0;204
453;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;76;desvio;0;205
455;0;;0;;;compania;0;tiempo;0;NAS;113;seguridad;0;previo;0;desvio;0;206
456;0;;0;;;compania;0;tiempo;0;NAS;3;seguridad;0;previo;0;desvio;0;207
456;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;39;desvio;0;208
457;0;;0;;;compania;0;tiempo;0;NAS;108;seguridad;0;previo;0;desvio;0;209
458;0;;0;;;compania;0;tiempo;6;NAS;0;seguridad;0;previo;0;desvio;0;210
458;0;;0;;;compania;0;tiempo;0;NAS;21;seguridad;0;previo;0;desvio;0;211
459;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;47;desvio;0;212
461;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;desvio;0;213
462;0;;0;;;compania;0;tiempo;0;NAS;80;seguridad;0;previo;0;desvio;0;214
469;0;;0;;;compania;0;tiempo;0;NAS;57;seguridad;0;previo;0;desvio;0;215
