causa();duracion(carrierDelay/weatherDelay/Retraso NASDelay/securityDelay/lateAircraftDelay/divArrDelay);idIncidencia();
Retraso NAS;18;2701;
Retraso Compagnia;20;2702;
Retraso NAS;6;2703;
Retraso Previo;59;2704;
Retraso Compagnia;24;2705;
Retraso NAS;9;2706;
Retraso Compagnia;9;2707;
Retraso NAS;29;2708;
Retraso Compagnia;15;2709;
Retraso Meteorologico;1;2710;
Retraso NAS;5;2711;
Retraso Previo;48;2712;
Retraso NAS;49;2713;
Retraso Previo;84;2714;
Retraso NAS;12;2715;
Retraso Previo;15;2716;
Retraso Compagnia;78;2717;
Retraso NAS;216;2718;
Retraso NAS;29;2719;
Retraso Compagnia;25;2720;
Retraso NAS;13;2721;
Retraso NAS;32;2722;
Retraso Compagnia;3;2723;
Retraso NAS;5;2724;
Retraso Previo;19;2725;
Retraso NAS;22;2726;
Retraso Compagnia;17;2727;
Retraso NAS;11;2728;
Retraso NAS;15;2729;
Retraso Compagnia;127;2730;
Retraso Compagnia;19;2732;
Retraso Meteorologico;34;2733;
Retraso NAS;44;2734;
Retraso NAS;34;2735;
Retraso Compagnia;8;2736;
Retraso NAS;15;2737;
Retraso NAS;25;2738;
Retraso Compagnia;55;2739;
Retraso NAS;23;2740;
Retraso NAS;103;2741;
Retraso Previo;34;2742;
Retraso Compagnia;6;2743;
Retraso NAS;17;2744;
Retraso Previo;26;2745;
Retraso Meteorologico;19;2746;
Retraso NAS;25;2747;
Retraso NAS;343;2748;
Retraso NAS;17;2749;
Retraso Compagnia;36;2750;
Retraso NAS;5;2751;
Retraso NAS;191;2752;
Retraso Compagnia;14;2753;
Retraso NAS;20;2754;
Retraso Compagnia;95;2755;
Retraso Compagnia;20;2756;
Retraso Compagnia;72;2757;
Retraso Previo;47;2758;
Retraso NAS;2;2759;
Retraso Previo;54;2760;
Retraso NAS;27;2761;
Retraso Compagnia;6;2762;
Retraso NAS;19;2763;
Retraso Previo;18;2764;
Retraso NAS;83;2765;
Retraso Compagnia;57;2766;
Retraso Compagnia;18;2767;
Retraso NAS;4;2768;
Retraso Meteorologico;34;2769;
Retraso NAS;32;2770;
Retraso NAS;15;2771;
Retraso NAS;34;2772;
Retraso NAS;27;2773;
Retraso NAS;78;2774;
Retraso Compagnia;19;2775;
Retraso NAS;62;2776;
Retraso NAS;31;2777;
Retraso NAS;17;2778;
Retraso NAS;264;2779;
Retraso NAS;68;2780;
Retraso NAS;17;2781;
Retraso NAS;34;2782;
Retraso Previo;11;2783;
Retraso NAS;25;2784;
Retraso NAS;15;2785;
Retraso Compagnia;49;2786;
Retraso Compagnia;19;2788;
Retraso NAS;2;2789;
Retraso NAS;90;2790;
Retraso NAS;16;2791;
Retraso Compagnia;43;2792;
Retraso NAS;3;2793;
Retraso Previo;16;2794;
Retraso NAS;40;2795;
Retraso NAS;32;2796;
Retraso Compagnia;110;2797;
Retraso Meteorologico;4;2798;
Retraso Previo;23;2799;
Retraso NAS;20;2800;
Retraso NAS;226;2802;
Retraso NAS;112;2803;
Retraso NAS;25;2804;
Retraso Compagnia;25;2805;
Retraso Compagnia;115;2806;
Retraso NAS;29;2807;
Retraso Compagnia;6;2808;
Retraso Previo;13;2809;
Retraso Compagnia;32;2810;
Retraso NAS;21;2811;
Retraso NAS;16;2812;
Retraso NAS;18;2813;
Retraso NAS;17;2814;
Retraso Compagnia;8;2815;
Retraso Previo;23;2816;
Retraso NAS;15;2817;
Retraso Compagnia;9;2818;
Retraso NAS;6;2819;
Retraso Compagnia;1;2820;
Retraso NAS;12;2821;
Retraso Previo;20;2822;
Retraso Compagnia;51;2823;
Retraso NAS;213;2824;
Retraso NAS;16;2825;
Retraso NAS;20;2826;
Retraso NAS;24;2827;
Retraso Compagnia;66;2828;
Retraso NAS;67;2829;
Retraso Compagnia;21;2830;
Retraso NAS;16;2831;
Retraso NAS;10;2832;
Retraso Previo;6;2833;
Retraso NAS;16;2834;
Retraso Compagnia;100;2835;
Retraso NAS;87;2836;
Retraso Compagnia;17;2837;
Retraso NAS;69;2838;
Retraso Compagnia;8;2839;
Retraso NAS;12;2840;
Retraso Compagnia;27;2841;
Retraso Compagnia;28;2842;
Retraso NAS;29;2843;
Retraso Compagnia;23;2844;
Retraso NAS;21;2845;
Retraso NAS;1;2846;
Retraso Previo;72;2847;
Retraso Compagnia;11;2848;
Retraso NAS;25;2849;
Retraso NAS;129;2850;
Retraso Compagnia;75;2851;
Retraso NAS;163;2852;
Retraso Compagnia;184;2853;
Retraso Compagnia;15;2854;
Retraso Previo;21;2855;
Retraso Meteorologico;7;2856;
Retraso Previo;68;2857;
Retraso NAS;9;2858;
Retraso Previo;34;2859;
Retraso Compagnia;14;2860;
Retraso NAS;1;2861;
Retraso NAS;15;2862;
Retraso Compagnia;10;2863;
Retraso NAS;16;2864;
Retraso NAS;21;2865;
Retraso Compagnia;6;2866;
Retraso NAS;13;2867;
Retraso Meteorologico;31;2868;
Retraso NAS;8;2869;
Retraso NAS;47;2870;
Retraso Compagnia;7;2871;
Retraso NAS;13;2872;
Retraso NAS;61;2873;
Retraso Compagnia;21;2874;
Retraso NAS;9;2875;
Retraso Compagnia;32;2876;
Retraso NAS;4;2877;
Retraso Compagnia;31;2878;
Retraso NAS;9;2879;
Retraso NAS;18;2880;
Retraso Compagnia;38;2881;
Retraso NAS;79;2882;
Retraso Compagnia;7;2883;
Retraso NAS;8;2884;
Retraso Compagnia;28;2885;
Retraso Compagnia;9;2886;
Retraso NAS;7;2887;
Retraso NAS;21;2888;
Retraso NAS;17;2889;
Retraso Compagnia;8;2890;
Retraso NAS;25;2891;
Retraso Compagnia;18;2892;
Retraso Compagnia;7;2893;
Retraso NAS;9;2894;
Retraso NAS;34;2895;
Retraso Previo;7;2896;
Retraso Compagnia;4;2897;
Retraso Previo;29;2898;
Retraso NAS;134;2899;
Retraso NAS;46;2900;
Retraso Compagnia;18;2901;
Retraso NAS;6;2902;
Retraso Previo;9;2903;
Retraso Compagnia;19;2904;
Retraso NAS;17;2905;
Retraso Compagnia;13;2906;
Retraso NAS;12;2907;
Retraso Compagnia;11;2908;
Retraso NAS;11;2909;
Retraso Compagnia;7;2910;
Retraso NAS;10;2911;
Retraso Compagnia;81;2912;
Retraso Compagnia;28;2913;
Retraso NAS;1;2914;
Retraso Meteorologico;17;2915;
Retraso NAS;25;2916;
Retraso NAS;43;2917;
Retraso NAS;22;2918;
Retraso Desvio;421;2920;
Retraso Desvio;408;2922;
Retraso Desvio;408;2924;
Retraso Desvio;321;2926;
Retraso Desvio;87;2928;
Retraso Desvio;185;2930;
Retraso Desvio;274;2933;
Retraso Desvio;242;2936;
Retraso Desvio;380;2939;
Retraso Desvio;212;2941;
Retraso Desvio;165;2943;
Retraso NAS;23;2944;
Retraso Compagnia;94;2945;
Retraso Compagnia;4;2946;
Retraso Previo;12;2947;
Retraso Compagnia;12;2948;
Retraso NAS;8;2949;
Retraso Previo;4;2950;
Retraso NAS;16;2951;
Retraso Compagnia;48;2952;
Retraso Previo;14;2953;
Retraso Compagnia;41;2954;
Retraso Previo;16;2955;
Retraso Compagnia;6;2956;
Retraso NAS;22;2957;
Retraso Compagnia;16;2958;
Retraso NAS;211;2959;
Retraso Previo;68;2960;
Retraso Compagnia;18;2961;
Retraso NAS;5;2962;
Retraso Compagnia;5;2963;
Retraso Previo;39;2964;
Retraso NAS;12;2965;
Retraso Previo;23;2966;
Retraso NAS;17;2967;
Retraso Compagnia;14;2968;
Retraso NAS;5;2969;
Retraso Previo;4;2970;
Retraso Compagnia;7;2971;
Retraso NAS;6;2972;
Retraso Previo;16;2973;
Retraso Compagnia;8;2974;
Retraso NAS;7;2975;
Retraso Compagnia;20;2976;
Retraso Previo;7;2977;
Retraso Compagnia;9;2979;
Retraso NAS;20;2980;
Retraso Previo;8;2981;
Retraso NAS;9;2982;
Retraso Previo;7;2983;
Retraso Compagnia;33;2984;
Retraso Previo;17;2985;
Retraso NAS;15;2986;
Retraso Compagnia;64;2987;
Retraso NAS;19;2988;
Retraso NAS;15;2989;
Retraso Previo;46;2990;
Retraso Meteorologico;9;2991;
Retraso NAS;27;2992;
Retraso Previo;32;2993;
Retraso NAS;90;2994;
Retraso NAS;23;2995;
Retraso Previo;69;2996;
Retraso Compagnia;65;2997;
Retraso NAS;37;2998;
Retraso Previo;2;2999;
Retraso NAS;27;3000;
Retraso NAS;26;3001;
Retraso Compagnia;136;3003;
Retraso Compagnia;9;3004;
Retraso NAS;30;3005;
Retraso NAS;31;3006;
Retraso NAS;138;3007;
Retraso NAS;19;3008;
Retraso NAS;23;3009;
Retraso NAS;13;3010;
Retraso Previo;28;3011;
Retraso NAS;27;3012;
Retraso NAS;19;3013;
Retraso NAS;17;3014;
Retraso NAS;1;3015;
Retraso Previo;50;3016;
Retraso NAS;1;3017;
Retraso Previo;37;3018;
Retraso NAS;16;3019;
Retraso NAS;47;3020;
Retraso Compagnia;16;3021;
Retraso NAS;9;3022;
Retraso NAS;108;3023;
Retraso Previo;16;3024;
Retraso NAS;35;3025;
Retraso NAS;14;3026;
Retraso Previo;8;3027;
Retraso NAS;21;3028;
Retraso NAS;3;3029;
Retraso Previo;73;3030;
Retraso NAS;37;3031;
Retraso Previo;174;3032;
Retraso NAS;24;3033;
Retraso Meteorologico;23;3034;
Retraso NAS;55;3035;
Retraso NAS;29;3036;
Retraso Previo;7;3037;
Retraso NAS;21;3038;
Retraso NAS;22;3039;
Retraso Previo;47;3040;
Retraso Previo;159;3041;
Retraso NAS;101;3042;
Retraso Compagnia;8;3043;
Retraso NAS;9;3044;
Retraso Compagnia;14;3045;
Retraso NAS;33;3046;
Retraso NAS;82;3047;
Retraso NAS;60;3048;
Retraso Compagnia;7;3050;
Retraso NAS;10;3051;
Retraso Compagnia;69;3052;
Retraso NAS;7;3053;
Retraso NAS;21;3054;
Retraso NAS;17;3055;
Retraso NAS;18;3056;
Retraso NAS;31;3057;
Retraso Previo;8;3058;
Retraso Compagnia;19;3059;
Retraso NAS;61;3060;
Retraso NAS;29;3061;
Retraso NAS;44;3062;
Retraso NAS;21;3063;
Retraso NAS;79;3064;
Retraso Compagnia;57;3065;
Retraso NAS;70;3066;
Retraso Previo;51;3067;
Retraso Compagnia;10;3068;
Retraso Previo;28;3069;
Retraso Compagnia;19;3071;
Retraso NAS;7;3072;
Retraso NAS;45;3073;
Retraso NAS;133;3074;
Retraso Previo;39;3075;
Retraso NAS;1;3076;
Retraso Previo;14;3077;
Retraso Compagnia;3;3078;
Retraso NAS;6;3079;
Retraso Previo;7;3080;
Retraso Previo;32;3081;
Retraso NAS;17;3082;
Retraso NAS;17;3083;
Retraso NAS;2;3084;
Retraso Previo;57;3085;
Retraso Compagnia;13;3086;
Retraso NAS;6;3087;
Retraso NAS;26;3088;
Retraso Compagnia;22;3089;
Retraso Compagnia;6;3090;
Retraso NAS;9;3091;
Retraso Compagnia;71;3092;
Retraso NAS;12;3093;
Retraso Previo;2;3094;
Retraso NAS;14;3095;
Retraso Previo;11;3096;
Retraso Compagnia;30;3097;
Retraso NAS;2;3098;
Retraso Compagnia;2;3099;
Retraso NAS;132;3100;
Retraso Previo;31;3101;
Retraso Meteorologico;4;3102;
Retraso NAS;65;3103;
Retraso Previo;43;3104;
Retraso Compagnia;24;3105;
Retraso NAS;75;3106;
Retraso Previo;11;3107;
Retraso NAS;10;3109;
Retraso Previo;85;3110;
Retraso NAS;222;3111;
Retraso NAS;48;3112;
Retraso Previo;102;3113;
Retraso NAS;10;3114;
Retraso Previo;20;3115;
Retraso Compagnia;42;3116;
Retraso NAS;25;3117;
Retraso NAS;23;3118;
Retraso Compagnia;8;3119;
Retraso Previo;10;3120;
Retraso Compagnia;6;3121;
Retraso NAS;10;3122;
Retraso Previo;18;3123;
Retraso NAS;40;3124;
Retraso NAS;15;3125;
Retraso Previo;10;3126;
Retraso NAS;16;3127;
Retraso Compagnia;1;3128;
Retraso NAS;15;3129;
Retraso Previo;9;3130;
Retraso NAS;15;3131;
Retraso Previo;7;3132;
Retraso Compagnia;23;3133;
Retraso NAS;17;3134;
Retraso Compagnia;3;3135;
Retraso NAS;10;3136;
Retraso Previo;9;3137;
Retraso Compagnia;76;3138;
Retraso NAS;17;3139;
Retraso Previo;16;3140;
Retraso Compagnia;85;3141;
Retraso Previo;11;3142;
Retraso Compagnia;36;3143;
Retraso NAS;16;3144;
Retraso NAS;33;3145;
Retraso NAS;17;3146;
Retraso NAS;21;3147;
Retraso NAS;8;3148;
Retraso Previo;7;3149;
Retraso Previo;23;3150;
Retraso NAS;22;3151;
Retraso Compagnia;1;3152;
Retraso NAS;8;3153;
Retraso Previo;15;3154;
Retraso NAS;15;3155;
Retraso Compagnia;282;3156;
Retraso Compagnia;40;3157;
Retraso NAS;5;3158;
Retraso Previo;5;3159;
Retraso Compagnia;40;3160;
Retraso NAS;1;3161;
Retraso Previo;7;3162;
Retraso NAS;24;3163;
Retraso NAS;15;3164;
Retraso Previo;33;3165;
Retraso NAS;40;3166;
Retraso Compagnia;27;3167;
Retraso Compagnia;8;3168;
Retraso NAS;8;3169;
Retraso Compagnia;45;3170;
Retraso NAS;16;3171;
Retraso Previo;7;3172;
Retraso Compagnia;24;3173;
Retraso NAS;22;3174;
Retraso NAS;16;3175;
Retraso Compagnia;6;3176;
Retraso NAS;10;3177;
Retraso Previo;2;3178;
Retraso Compagnia;28;3179;
Retraso Compagnia;19;3180;
Retraso NAS;19;3181;
Retraso Compagnia;1;3182;
Retraso Previo;28;3183;
Retraso NAS;13;3184;
Retraso Previo;18;3185;
Retraso Compagnia;40;3186;
Retraso NAS;32;3187;
Retraso Compagnia;12;3188;
Retraso NAS;13;3189;
Retraso Compagnia;20;3190;
Retraso NAS;5;3191;
Retraso NAS;22;3192;
Retraso Compagnia;6;3193;
Retraso NAS;21;3194;
Retraso Compagnia;87;3195;
Retraso NAS;8;3196;
Retraso NAS;4;3197;
Retraso Previo;24;3198;
Retraso Compagnia;3;3199;
Retraso NAS;7;3200;
Retraso Previo;26;3201;
Retraso Compagnia;3;3202;
Retraso Previo;27;3203;
Retraso NAS;12;3204;
Retraso Previo;13;3205;
Retraso Compagnia;3;3206;
Retraso Previo;165;3207;
Retraso Compagnia;6;3208;
Retraso NAS;6;3209;
Retraso Previo;6;3210;
Retraso NAS;16;3211;
Retraso Previo;8;3212;
Retraso Compagnia;58;3213;
Retraso Previo;16;3214;
Retraso NAS;16;3215;
Retraso Compagnia;51;3216;
Retraso NAS;31;3217;
Retraso NAS;46;3218;
Retraso NAS;13;3219;
Retraso Previo;14;3220;
Retraso Compagnia;38;3221;
Retraso Compagnia;17;3222;
Retraso NAS;11;3223;
Retraso Compagnia;23;3224;
Retraso NAS;15;3225;
Retraso Previo;91;3226;
Retraso NAS;14;3227;
Retraso Previo;7;3228;
Retraso Compagnia;29;3229;
Retraso NAS;25;3230;
Retraso NAS;41;3231;
Retraso Previo;45;3232;
Retraso NAS;3;3233;
Retraso Previo;18;3234;
Retraso NAS;10;3235;
Retraso Previo;9;3236;
Retraso NAS;22;3237;
Retraso Previo;92;3238;
Retraso Compagnia;100;3239;
Retraso NAS;15;3240;
Retraso NAS;2;3241;
Retraso Previo;37;3242;
Retraso NAS;24;3243;
Retraso Compagnia;19;3244;
Retraso NAS;14;3245;
Retraso NAS;17;3246;
Retraso Compagnia;10;3247;
Retraso NAS;8;3248;
Retraso Compagnia;48;3249;
Retraso NAS;1;3250;
Retraso Compagnia;45;3251;
Retraso Previo;70;3252;
Retraso Previo;56;3253;
Retraso NAS;18;3254;
Retraso Compagnia;159;3255;
Retraso Compagnia;49;3256;
Retraso NAS;4;3257;
Retraso NAS;23;3258;
Retraso Compagnia;134;3259;
Retraso NAS;9;3260;
Retraso Compagnia;33;3261;
Retraso NAS;3;3262;
Retraso NAS;16;3263;
Retraso NAS;24;3264;
Retraso Compagnia;10;3265;
Retraso NAS;8;3266;
Retraso Compagnia;31;3267;
Retraso NAS;5;3268;
Retraso Previo;24;3269;
Retraso NAS;53;3270;
Retraso Previo;38;3271;
Retraso Previo;16;3272;
Retraso NAS;25;3273;
Retraso NAS;17;3274;
Retraso Compagnia;29;3275;
Retraso NAS;2;3276;
Retraso Compagnia;14;3277;
Retraso NAS;1;3278;
Retraso Previo;17;3279;
Retraso NAS;20;3280;
Retraso NAS;19;3281;
Retraso NAS;22;3282;
Retraso NAS;31;3283;
Retraso NAS;16;3284;
Retraso Compagnia;18;3285;
Retraso NAS;12;3286;
Retraso Previo;3;3287;
Retraso NAS;14;3288;
Retraso Previo;17;3289;
Retraso Compagnia;6;3290;
Retraso NAS;18;3291;
Retraso Previo;20;3292;
Retraso NAS;47;3293;
Retraso NAS;68;3294;
Retraso Previo;9;3295;
Retraso NAS;38;3296;
Retraso NAS;177;3297;
Retraso NAS;25;3298;
Retraso Compagnia;7;3299;
Retraso NAS;23;3300;
Retraso Meteorologico;249;3301;
Retraso NAS;3;3302;
Retraso Compagnia;169;3303;
Retraso NAS;2;3304;
Retraso NAS;19;3305;
Retraso NAS;22;3306;
Retraso Previo;24;3307;
Retraso NAS;31;3308;
Retraso Previo;39;3309;
Retraso NAS;6;3310;
Retraso Previo;9;3311;
Retraso NAS;23;3312;
Retraso NAS;16;3313;
Retraso NAS;30;3314;
Retraso NAS;19;3315;
Retraso Previo;32;3316;
Retraso NAS;1;3317;
Retraso Previo;19;3318;
Retraso Previo;25;3319;
Retraso Previo;22;3320;
Retraso NAS;2;3321;
Retraso Previo;30;3322;
Retraso NAS;7;3323;
Retraso Previo;11;3324;
Retraso NAS;2;3325;
Retraso Previo;21;3326;
Retraso Previo;19;3327;
Retraso Compagnia;15;3328;
Retraso NAS;6;3329;
Retraso Compagnia;10;3330;
Retraso NAS;14;3331;
Retraso Compagnia;16;3332;
Retraso Previo;2;3333;
Retraso Compagnia;16;3334;
Retraso NAS;4;3335;
Retraso Compagnia;16;3336;
Retraso NAS;13;3337;
Retraso NAS;14;3338;
Retraso Previo;7;3339;
Retraso NAS;27;3340;
Retraso Previo;6;3341;
Retraso NAS;16;3342;
Retraso Compagnia;10;3343;
Retraso NAS;9;3344;
Retraso NAS;236;3345;
Retraso Previo;8;3346;
Retraso Compagnia;24;3347;
Retraso NAS;71;3348;
Retraso Previo;18;3349;
Retraso Compagnia;30;3350;
Retraso NAS;20;3351;
Retraso Compagnia;23;3352;
Retraso Previo;69;3353;
Retraso Compagnia;22;3354;
Retraso NAS;7;3355;
Retraso Compagnia;14;3356;
Retraso NAS;24;3357;
Retraso NAS;30;3358;
Retraso NAS;16;3359;
Retraso Previo;84;3360;
Retraso NAS;68;3361;
Retraso NAS;61;3362;
Retraso NAS;4;3363;
Retraso Previo;39;3364;
Retraso NAS;58;3365;
Retraso Compagnia;14;3366;
Retraso NAS;8;3367;
Retraso Previo;8;3368;
Retraso Compagnia;15;3369;
Retraso NAS;6;3370;
Retraso NAS;20;3371;
Retraso NAS;34;3372;
Retraso Compagnia;147;3373;
Retraso Compagnia;22;3374;
Retraso NAS;20;3375;
Retraso Compagnia;6;3376;
Retraso NAS;18;3377;
Retraso Compagnia;23;3378;
Retraso NAS;15;3379;
Retraso Compagnia;91;3380;
Retraso NAS;1;3381;
Retraso NAS;29;3382;
Retraso NAS;19;3383;
Retraso Compagnia;17;3384;
Retraso NAS;15;3385;
Retraso Compagnia;34;3386;
Retraso Previo;4;3387;
Retraso NAS;19;3388;
Retraso NAS;27;3389;
Retraso NAS;24;3390;
Retraso Compagnia;4;3391;
Retraso NAS;13;3392;
Retraso Previo;14;3393;
Retraso Compagnia;7;3394;
Retraso NAS;25;3395;
Retraso Compagnia;5;3396;
Retraso NAS;7;3397;
Retraso Previo;10;3398;
Retraso Compagnia;58;3399;
Retraso NAS;3;3400;
Retraso Previo;16;3401;
Retraso Compagnia;19;3402;
Retraso NAS;7;3403;
Retraso NAS;2;3404;
Retraso Previo;15;3405;
Retraso Compagnia;22;3406;
Retraso NAS;16;3407;
Retraso Compagnia;20;3408;
Retraso NAS;21;3409;
Retraso NAS;41;3410;
Retraso NAS;24;3411;
Retraso Compagnia;19;3412;
Retraso Previo;1;3413;
Retraso Compagnia;6;3414;
Retraso NAS;20;3415;
Retraso Previo;44;3416;
Retraso NAS;23;3417;
Retraso Compagnia;48;3418;
Retraso NAS;2;3419;
Retraso Compagnia;19;3420;
Retraso NAS;1;3421;
Retraso Compagnia;13;3422;
Retraso Previo;11;3423;
Retraso Compagnia;15;3424;
Retraso NAS;19;3425;
Retraso NAS;17;3426;
Retraso Compagnia;2;3427;
Retraso NAS;12;3428;
Retraso Previo;8;3429;
Retraso Compagnia;11;3430;
Retraso NAS;9;3431;
Retraso Compagnia;29;3432;
Retraso NAS;17;3433;
Retraso Compagnia;31;3434;
Retraso NAS;25;3435;
Retraso Compagnia;14;3436;
Retraso NAS;6;3437;
Retraso Compagnia;51;3438;
Retraso NAS;7;3439;
Retraso Compagnia;114;3440;
Retraso NAS;10;3441;
Retraso Compagnia;49;3442;
Retraso NAS;22;3443;
Retraso NAS;27;3444;
Retraso Previo;63;3445;
Retraso NAS;27;3446;
Retraso Compagnia;6;3447;
Retraso NAS;12;3448;
Retraso Previo;4;3449;
Retraso Compagnia;9;3450;
Retraso NAS;7;3451;
Retraso Compagnia;21;3452;
Retraso NAS;3;3453;
Retraso Previo;37;3454;
Retraso Compagnia;7;3455;
Retraso NAS;28;3456;
Retraso Previo;6;3457;
Retraso NAS;18;3458;
Retraso NAS;20;3459;
Retraso NAS;22;3460;
Retraso Compagnia;40;3461;
Retraso Compagnia;6;3462;
Retraso NAS;16;3463;
Retraso Compagnia;6;3464;
Retraso NAS;12;3465;
Retraso NAS;16;3466;
Retraso Compagnia;11;3467;
Retraso NAS;9;3468;
Retraso Compagnia;16;3469;
Retraso NAS;19;3470;
Retraso Previo;5;3471;
Retraso Compagnia;40;3472;
Retraso NAS;6;3473;
Retraso NAS;15;3474;
Retraso Compagnia;11;3475;
Retraso NAS;7;3476;
Retraso Previo;11;3477;
Retraso NAS;17;3478;
Retraso Previo;6;3479;
Retraso NAS;67;3480;
Retraso NAS;81;3481;
Retraso Compagnia;41;3482;
Retraso NAS;7;3483;
Retraso Compagnia;85;3484;
Retraso NAS;8;3485;
Retraso NAS;26;3486;
Retraso Previo;19;3487;
Retraso Compagnia;17;3488;
Retraso NAS;10;3489;
Retraso Previo;10;3490;
Retraso NAS;16;3491;
Retraso Compagnia;6;3492;
Retraso NAS;9;3493;
Retraso Previo;2;3494;
Retraso Compagnia;74;3495;
Retraso NAS;2;3496;
Retraso NAS;15;3497;
Retraso Previo;12;3498;
Retraso Compagnia;46;3499;
Retraso NAS;17;3500;
Retraso Compagnia;24;3501;
Retraso Compagnia;8;3502;
Retraso NAS;1;3503;
Retraso Previo;12;3504;
Retraso NAS;24;3505;
Retraso Compagnia;17;3506;
Retraso NAS;4;3507;
Retraso Previo;4;3508;
Retraso Compagnia;40;3509;
Retraso NAS;15;3510;
Retraso Compagnia;7;3512;
Retraso NAS;13;3513;
Retraso Compagnia;7;3514;
Retraso NAS;40;3515;
Retraso NAS;22;3516;
Retraso NAS;24;3517;
Retraso Previo;24;3518;
Retraso Previo;32;3519;
Retraso Compagnia;12;3520;
Retraso NAS;22;3521;
Retraso Compagnia;14;3522;
Retraso NAS;17;3523;
Retraso NAS;17;3524;
Retraso Compagnia;11;3525;
Retraso NAS;13;3526;
Retraso NAS;39;3527;
Retraso NAS;34;3528;
Retraso Compagnia;16;3529;
Retraso Compagnia;20;3530;
Retraso Compagnia;23;3531;
Retraso NAS;17;3532;
Retraso NAS;16;3533;
Retraso NAS;19;3534;
Retraso Compagnia;10;3535;
Retraso Previo;11;3536;
Retraso NAS;9;3537;
Retraso Previo;10;3538;
Retraso Compagnia;48;3539;
Retraso NAS;1;3540;
Retraso NAS;18;3541;
Retraso Compagnia;39;3542;
Retraso NAS;29;3543;
Retraso Compagnia;11;3544;
Retraso NAS;9;3545;
Retraso NAS;27;3546;
Retraso NAS;25;3547;
Retraso NAS;3;3548;
Retraso Previo;17;3549;
Retraso NAS;15;3550;
Retraso Previo;28;3551;
Retraso Compagnia;79;3552;
Retraso NAS;29;3554;
Retraso NAS;18;3555;
Retraso Compagnia;3;3556;
Retraso Previo;38;3557;
Retraso NAS;18;3558;
Retraso Previo;99;3559;
Retraso NAS;16;3560;
Retraso Compagnia;55;3561;
Retraso Previo;28;3562;
Retraso Compagnia;197;3563;
Retraso Previo;18;3564;
Retraso Compagnia;1;3565;
Retraso NAS;2;3566;
Retraso Previo;14;3567;
Retraso Compagnia;23;3568;
Retraso Meteorologico;169;3569;
Retraso NAS;27;3570;
Retraso Previo;146;3571;
Retraso NAS;2;3572;
Retraso Previo;20;3573;
Retraso Compagnia;15;3574;
Retraso Compagnia;34;3575;
Retraso NAS;8;3576;
Retraso Previo;7;3577;
Retraso Compagnia;16;3578;
Retraso NAS;8;3579;
Retraso Previo;52;3580;
Retraso Compagnia;26;3581;
Retraso NAS;3;3582;
Retraso Previo;17;3583;
Retraso NAS;30;3584;
Retraso Compagnia;16;3585;
Retraso NAS;23;3586;
Retraso NAS;37;3587;
Retraso Compagnia;22;3588;
Retraso NAS;102;3589;
Retraso NAS;2;3590;
Retraso Previo;24;3591;
Retraso NAS;18;3592;
Retraso Previo;29;3593;
Retraso NAS;34;3594;
Retraso NAS;15;3595;
Retraso Previo;17;3596;
Retraso Compagnia;13;3597;
Retraso NAS;8;3598;
Retraso Previo;5;3599;
Retraso NAS;26;3600;
Retraso NAS;8;3602;
Retraso Previo;44;3603;
Retraso Compagnia;28;3604;
Retraso Previo;89;3605;
Retraso NAS;17;3606;
Retraso Compagnia;14;3607;
Retraso NAS;3;3608;
Retraso NAS;24;3609;
Retraso NAS;15;3610;
Retraso Meteorologico;14;3611;
Retraso NAS;7;3612;
Retraso Compagnia;62;3613;
Retraso NAS;5;3614;
Retraso Compagnia;18;3615;
Retraso NAS;108;3616;
Retraso NAS;15;3617;
Retraso NAS;17;3618;
Retraso Compagnia;74;3619;
Retraso Compagnia;8;3620;
Retraso NAS;7;3621;
Retraso Previo;14;3622;
Retraso NAS;16;3623;
Retraso NAS;19;3624;
Retraso NAS;1;3625;
Retraso Previo;42;3626;
Retraso NAS;16;3627;
Retraso Compagnia;426;3628;
Retraso Compagnia;15;3630;
Retraso NAS;4;3631;
Retraso NAS;39;3632;
Retraso Compagnia;52;3633;
Retraso NAS;21;3635;
Retraso NAS;24;3636;
Retraso NAS;25;3637;
Retraso NAS;19;3638;
Retraso NAS;28;3639;
Retraso NAS;16;3640;
Retraso NAS;18;3641;
Retraso Compagnia;9;3642;
Retraso Previo;12;3643;
Retraso NAS;22;3644;
Retraso NAS;15;3645;
Retraso NAS;44;3646;
Retraso NAS;5;3647;
Retraso Previo;15;3648;
Retraso NAS;2;3649;
Retraso Previo;41;3650;
Retraso Previo;50;3651;
Retraso NAS;20;3652;
Retraso NAS;31;3653;
Retraso NAS;25;3655;
Retraso Compagnia;34;3656;
Retraso NAS;11;3659;
Retraso Previo;13;3660;
Retraso Compagnia;23;3661;
Retraso NAS;15;3666;
Retraso NAS;32;3667;
Retraso Previo;239;3669;
Retraso Compagnia;46;3672;
Retraso NAS;9;3673;
Retraso NAS;18;3674;
Retraso NAS;27;3676;
Retraso Compagnia;82;3679;
Retraso NAS;2;3680;
Retraso Compagnia;32;3681;
Retraso NAS;2;3682;
Retraso NAS;7;3683;
Retraso Previo;16;3684;
Retraso Compagnia;14;3685;
Retraso Previo;1;3686;
Retraso Previo;16;3687;
Retraso NAS;42;3688;
Retraso NAS;10;3689;
Retraso Previo;17;3690;
Retraso NAS;18;3691;
Retraso Previo;17;3692;
Retraso NAS;20;3693;
Retraso Compagnia;9;3694;
