flightNum;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;desvio;divArrDelay;
143;0;;0;;;compania;12;tiempo;0;NAS;0;seguridad;0;previo;4;desvio;;
147;0;;0;;;compania;0;tiempo;0;NAS;18;seguridad;0;previo;0;desvio;;
150;0;;0;;;compania;10;tiempo;0;NAS;4;seguridad;0;previo;48;desvio;;
151;0;;0;;;compania;0;tiempo;0;NAS;93;seguridad;0;previo;0;desvio;;
157;0;;0;;;compania;0;tiempo;0;NAS;20;seguridad;0;previo;0;desvio;;
160;0;;0;;;compania;0;tiempo;0;NAS;172;seguridad;0;previo;0;desvio;;
166;0;;0;;;compania;0;tiempo;0;NAS;52;seguridad;0;previo;0;desvio;;
174;0;;0;;;compania;0;tiempo;2;NAS;0;seguridad;0;previo;59;desvio;;
182;0;;0;;;compania;10;tiempo;0;NAS;4;seguridad;0;previo;45;desvio;;
183;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;48;desvio;;
184;0;;0;;;compania;4;tiempo;0;NAS;0;seguridad;0;previo;84;desvio;;
187;0;;0;;;compania;0;tiempo;0;NAS;40;seguridad;0;previo;0;desvio;;
190;0;;0;;;compania;147;tiempo;0;NAS;0;seguridad;0;previo;5;desvio;;
197;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;;
204;0;;0;;;compania;17;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
207;0;;0;;;compania;38;tiempo;0;NAS;0;seguridad;0;previo;6;desvio;;
210;0;;0;;;compania;50;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
212;0;;0;;;compania;25;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
217;0;;0;;;compania;42;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
225;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;desvio;;
226;0;;0;;;compania;29;tiempo;0;NAS;11;seguridad;0;previo;0;desvio;;
230;0;;0;;;compania;25;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
231;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;;
235;0;;0;;;compania;0;tiempo;0;NAS;27;seguridad;0;previo;0;desvio;;
239;0;;0;;;compania;0;tiempo;0;NAS;71;seguridad;0;previo;0;desvio;;
242;0;;0;;;compania;0;tiempo;24;NAS;18;seguridad;0;previo;180;desvio;;
250;0;;0;;;compania;31;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
256;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;desvio;;
258;0;;0;;;compania;41;tiempo;0;NAS;4;seguridad;0;previo;0;desvio;;
259;0;;0;;;compania;77;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
262;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;;
265;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;desvio;;
266;0;;0;;;compania;0;tiempo;0;NAS;31;seguridad;0;previo;0;desvio;;
281;0;;0;;;compania;45;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
282;0;;0;;;compania;0;tiempo;0;NAS;60;seguridad;0;previo;0;desvio;;
283;0;;0;;;compania;0;tiempo;0;NAS;38;seguridad;0;previo;0;desvio;;
285;0;;0;;;compania;90;tiempo;0;NAS;26;seguridad;0;previo;0;desvio;;
288;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;78;desvio;;
293;0;;0;;;compania;27;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
301;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;desvio;;
302;0;;0;;;compania;0;tiempo;0;NAS;20;seguridad;0;previo;0;desvio;;
303;0;;0;;;compania;0;tiempo;0;NAS;21;seguridad;0;previo;0;desvio;;
311;0;;0;;;compania;16;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
322;0;;0;;;compania;39;tiempo;0;NAS;6;seguridad;0;previo;0;desvio;;
324;1;Carrier;0;BOS;;compania;;tiempo;;NAS;;seguridad;;previo;;desvio;;
326;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;;
329;1;Carrier;0;;;compania;;tiempo;;NAS;;seguridad;;previo;;desvio;;
333;0;;0;;;compania;74;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
345;0;;0;;;compania;70;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
348;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;34;desvio;;
364;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;;
365;0;;0;;;compania;0;tiempo;0;NAS;103;seguridad;0;previo;0;desvio;;
371;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;86;desvio;;
388;0;;0;;;compania;0;tiempo;7;NAS;0;seguridad;0;previo;11;desvio;;
393;0;;0;;;compania;0;tiempo;0;NAS;31;seguridad;0;previo;0;desvio;;
394;0;;0;;;compania;0;tiempo;0;NAS;30;seguridad;0;previo;0;desvio;;
395;0;;0;;;compania;19;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;;
396;0;;0;;;compania;0;tiempo;0;NAS;122;seguridad;0;previo;0;desvio;;
397;0;;0;;;compania;0;tiempo;0;NAS;65;seguridad;0;previo;0;desvio;;
398;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;76;desvio;;
399;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;52;desvio;;
401;0;;0;;;compania;0;tiempo;0;NAS;47;seguridad;0;previo;0;desvio;;
402;0;;0;;;compania;0;tiempo;0;NAS;79;seguridad;0;previo;3;desvio;;
404;0;;0;;;compania;0;tiempo;0;NAS;26;seguridad;0;previo;13;desvio;;
405;0;;0;;;compania;0;tiempo;0;NAS;2;seguridad;0;previo;39;desvio;;
408;0;;0;;;compania;0;tiempo;0;NAS;42;seguridad;0;previo;0;desvio;;
409;0;;0;;;compania;0;tiempo;0;NAS;47;seguridad;0;previo;0;desvio;;
412;0;;0;;;compania;21;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
413;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;desvio;;
415;0;;0;;;compania;0;tiempo;0;NAS;22;seguridad;0;previo;0;desvio;;
416;0;;0;;;compania;0;tiempo;0;NAS;128;seguridad;0;previo;0;desvio;;
417;0;;0;;;compania;0;tiempo;0;NAS;83;seguridad;0;previo;0;desvio;;
418;0;;0;;;compania;0;tiempo;0;NAS;87;seguridad;0;previo;0;desvio;;
420;0;;0;;;compania;0;tiempo;11;NAS;0;seguridad;0;previo;9;desvio;;
421;0;;0;;;compania;18;tiempo;0;NAS;0;seguridad;0;previo;30;desvio;;
423;0;;0;;;compania;0;tiempo;0;NAS;10;seguridad;0;previo;13;desvio;;
424;0;;0;;;compania;0;tiempo;0;NAS;30;seguridad;0;previo;16;desvio;;
426;0;;0;;;compania;0;tiempo;0;NAS;116;seguridad;0;previo;0;desvio;;
427;0;;0;;;compania;0;tiempo;0;NAS;65;seguridad;0;previo;0;desvio;;
428;0;;0;;;compania;0;tiempo;4;NAS;0;seguridad;0;previo;93;desvio;;
429;0;;0;;;compania;18;tiempo;0;NAS;0;seguridad;0;previo;41;desvio;;
430;0;;0;;;compania;37;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
431;0;;0;;;compania;0;tiempo;0;NAS;16;seguridad;0;previo;0;desvio;;
437;0;;0;;;compania;10;tiempo;0;NAS;0;seguridad;0;previo;44;desvio;;
439;0;;0;;;compania;0;tiempo;0;NAS;36;seguridad;0;previo;5;desvio;;
440;0;;0;;;compania;0;tiempo;0;NAS;80;seguridad;0;previo;0;desvio;;
441;0;;0;;;compania;0;tiempo;0;NAS;50;seguridad;0;previo;1;desvio;;
442;0;;0;;;compania;0;tiempo;2;NAS;0;seguridad;0;previo;19;desvio;;
443;0;;0;;;compania;0;tiempo;0;NAS;8;seguridad;0;previo;69;desvio;;
450;1;Carrier;0;;;compania;;tiempo;;NAS;;seguridad;;previo;;desvio;;
451;0;;0;;;compania;0;tiempo;0;NAS;78;seguridad;0;previo;13;desvio;;
452;0;;0;;;compania;0;tiempo;0;NAS;29;seguridad;0;previo;0;desvio;;
453;0;;0;;;compania;0;tiempo;5;NAS;5;seguridad;0;previo;76;desvio;;
455;0;;0;;;compania;0;tiempo;0;NAS;113;seguridad;0;previo;0;desvio;;
456;0;;0;;;compania;0;tiempo;0;NAS;3;seguridad;0;previo;39;desvio;;
457;0;;0;;;compania;0;tiempo;0;NAS;108;seguridad;0;previo;0;desvio;;
458;0;;0;;;compania;0;tiempo;6;NAS;21;seguridad;0;previo;0;desvio;;
459;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;47;desvio;;
461;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;desvio;;
462;0;;0;;;compania;0;tiempo;0;NAS;80;seguridad;0;previo;0;desvio;;
469;0;;0;;;compania;0;tiempo;0;NAS;57;seguridad;0;previo;0;desvio;;
473;0;;0;;;compania;0;tiempo;0;NAS;18;seguridad;0;previo;24;desvio;;
481;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;desvio;;
485;0;;0;;;compania;0;tiempo;0;NAS;100;seguridad;0;previo;0;desvio;;
486;0;;0;;;compania;0;tiempo;0;NAS;51;seguridad;0;previo;0;desvio;;
487;0;;0;;;compania;0;tiempo;12;NAS;0;seguridad;0;previo;63;desvio;;
493;0;;0;;;compania;20;tiempo;0;NAS;50;seguridad;0;previo;0;desvio;;
501;0;;0;;;compania;0;tiempo;0;NAS;19;seguridad;0;previo;0;desvio;;
511;0;;0;;;compania;0;tiempo;0;NAS;70;seguridad;0;previo;0;desvio;;
512;0;;0;;;compania;0;tiempo;0;NAS;28;seguridad;0;previo;6;desvio;;
515;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;18;desvio;;
524;0;;0;;;compania;0;tiempo;4;NAS;0;seguridad;0;previo;42;desvio;;
532;0;;0;;;compania;0;tiempo;0;NAS;28;seguridad;0;previo;0;desvio;;
543;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;;
555;0;;0;;;compania;17;tiempo;0;NAS;14;seguridad;0;previo;98;desvio;;
558;0;;0;;;compania;94;tiempo;0;NAS;29;seguridad;0;previo;0;desvio;;
560;0;;0;;;compania;20;tiempo;0;NAS;6;seguridad;0;previo;0;desvio;;
565;0;;0;;;compania;34;tiempo;0;NAS;6;seguridad;0;previo;0;desvio;;
568;0;;0;;;compania;8;tiempo;0;NAS;4;seguridad;0;previo;36;desvio;;
580;0;;0;;;compania;61;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
582;0;;0;;;compania;136;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
585;0;;0;;;compania;0;tiempo;0;NAS;45;seguridad;0;previo;0;desvio;;
596;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;desvio;;
601;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;desvio;;
606;0;;0;;;compania;0;tiempo;14;NAS;0;seguridad;0;previo;46;desvio;;
607;0;;0;;;compania;0;tiempo;0;NAS;7;seguridad;0;previo;88;desvio;;
611;0;;0;;;compania;52;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
